Rana Muhammad Saif,Muzaffargarh Pakistan,student,FALSE,2022-05-18 17:04:57+00:00,ptiofficial behind you skipper murshid ab ap zid hn hmari,positive,pti
Sumera Ansari,Canada ,You can create the life you want simply by thinking the right thoughts.,FALSE,2022-05-18 16:59:45+00:00,we are behind you skipper,positive,pti
RajputSABhatti,,Civil Engineer,FALSE,2022-05-18 16:31:01+00:00,imran khan,positive,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 16:25:03+00:00,thank you nadir ahmad noor from united arab emirates for your donation of,neutral,pti
Mohsin Latif,,,FALSE,2022-05-18 16:19:23+00:00,imran khan should impose presidential setup in pakistan and our economy should be more stable i dream one day 1 rupee= 2 dollars,positive,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 16:15:03+00:00,thank you muhammad sajawal from ireland for your donation of,neutral,pti
Sagheer Talokar PTI,Pakistan,,FALSE,2022-05-18 16:02:48+00:00,imrankhanpti always behind you skipper love you niazi,positive,pti
Sagheer Talokar PTI,Pakistan,,FALSE,2022-05-18 16:02:37+00:00,imrankhanpti always behind you skipper love you niazi,positive,pti
BOT 2.0,,,FALSE,2022-05-18 16:01:38+00:00,imrankhanpti very well played skipper,neutral,pti
Waqas Ahmed,Faisalabad,Finding myself,FALSE,2022-05-18 16:00:13+00:00,behind you skipper,positive,pti
Umme Arsh,Pakistan,Pakistan is my first love,FALSE,2022-05-18 15:59:26+00:00,imrankhanpti always behind you skipper,positive,pti
Subtain Kawish,,Growing learner,FALSE,2022-05-18 15:59:22+00:00,imrankhanpti behind you skipper,positive,pti
Waqas Ahmed,Faisalabad,Finding myself,FALSE,2022-05-18 15:58:48+00:00,behind you skipper,positive,pti
Khalil Choudhry,,sincerity,FALSE,2022-05-18 15:19:53+00:00,imrankhanpti,positive,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 15:05:03+00:00,thank you sabahat hussain from united kingdom for your donation of,neutral,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 14:45:02+00:00,thank you nauman from australia for your donation of,neutral,pti
,,,FALSE,2022-05-18 14:36:24+00:00,behinduhskipper shukrya behind you skipper shukrya,positive,pti
Shabana Anjum,Rawalpindi Pakistan,Proud pakistani ,FALSE,2022-05-18 14:25:34+00:00,behind you skipper,positive,pti
Hamdan Khan,Denshaw England,Overseas proud Pakistani ,FALSE,2022-05-18 14:12:14+00:00,imrankhanpti behind you skipper all the way,positive,pti
euphomaa,, Imran khans army,FALSE,2022-05-18 14:00:18+00:00,imrankhanpti,positive,pti
Subtain Kawish,,Growing learner,FALSE,2022-05-18 13:54:20+00:00,imrankhanpti behind you skipper,positive,pti
Alina Gul,pakistan,Who has no dreamsIt has no future,FALSE,2022-05-18 13:41:43+00:00,whole pak is behind you skipper,positive,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 13:00:03+00:00,thank you zahoor hussain from united arab emirates for your donation of,neutral,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 12:55:03+00:00,thank you nadia from united kingdom for your donation of,neutral,pti
Mohsin Ali Rafaqat,Kassel Germany, Studyin MSc. Automotive Safety Engg. at Uni. Kassel |,FALSE,2022-05-18 12:37:36+00:00,behind you skipper,positive,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 12:35:02+00:00,thank you fatima from canada for your donation of,neutral,pti
Waseem Arshad Wains,,Simplicity,FALSE,2022-05-18 12:24:03+00:00,salute to this guy,positive,pti
Waseem Arshad Wains,,Simplicity,FALSE,2022-05-18 12:23:36+00:00,salute to this guy,positive,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 12:00:03+00:00,thank you abdul basit from united arab emirates for your donation of,neutral,pti
Waseem Arshad Wains,,Simplicity,FALSE,2022-05-18 11:34:49+00:00,murshad has all these qualities,positive,pti
Nasir Khan,,,FALSE,2022-05-18 11:12:41+00:00,imrankhanpti behind you skipper,positive,pti
Na Manzoor,,Official twitter account for the documentation of overseas Pakistani donors who are contributing to the PTI Chairman Imran Khan,FALSE,2022-05-18 11:10:02+00:00,thank you mohammed ahmed from united kingdom for your donation of,neutral,pti
